category	initiative	title	date	location_name	location_url	city	country	workshop_url	instructors	previous_edition_url
community-run	Carpentries	bioc-intro,bioc-rnaseq	24-28 March 2025	International Institute of Tropical Agriculture	https://www.iita.org/iita-countries/kenya/	Nairobi	Kenya	https://training.bioconductor.org/workshops/2025-03-Nairobi/index.html	"Fabricio Almeida-Silva, Laurah Ondari, Laurent Gatto, Michael Landi, Zedias Chikwambi"	
community-run	Carpentries	bioc-rnaseq	21 March 2025	Universidade Federal de Minas Gerais	https://ufmg.br/international-visitors	Belo Horizonte	Brazil	https://iza-mcac.github.io/2025-04-21-biocrnaseq-cfbioinfo/	"Izabela Mamede, João Paulo P. de Almeida"	
community-run	Carpentries	bioc-intro	30-31 October 2024	INRAT	https://www.inrat.agrinet.tn/index.php/fr/	Tunis	Tunisia	https://tunisrusergroup.github.io/2024-10-30-INRAT/	"Amal Boukteb, Hédia Tnani, Malek Chaouch"	
community-run	Carpentries	bioc-intro	2-3 September 2024	EuroBioC2024	https://eurobioc2024.bioconductor.org/	Oxford	United Kingdom	https://bioconductor.github.io/2024-09-02-BiocIntro-EuroBioc/	"Oliver Crook, Marcel Ramos-Perez"	
community-run	Carpentries	bioc-rnaseq	2-3 September 2024	EuroBioC2024	https://eurobioc2024.bioconductor.org/	Oxford	United Kingdom	https://bioconductor.github.io/2024-09-02-RNASeq-EuroBioc/	"Fabricio Almeida-Silva, Robert Ivanek"	
community-run	Carpentries	bioc-rnaseq	22-23 July 2024	BioC2024	https://www.bioc2024.bioconductor.org/	Grand Rapids	United States	https://bioconductor.github.io/2024-07-22-BiocRnaseq-Bioc2024/	"Jenny Drnevich, Tim Triche, Charlotte Hutchings"	
community-run	Carpentries	bioc-rnaseq	11-12 July 2024	Karolinska Institute	https://ki.se/en	Stockholm	Sweden	https://rodrigarc.github.io/2024-07-11-bioconductor-rnaseq/	Rodrigo Arcoverde Cerveira da Silva	
community-run	Carpentries	bioc-intro	March 2024	University of Illinois	https://illinois.edu/	Champaign	United States		"Jenny Drnevich, Negin Valizadegan, Yifei Kang"	
community-run	Carpentries	bioc-rnaseq	1-2 February 2024	Carnegie Institution	https://carnegiescience.edu/bse	Baltimore	United States		"Javier Carpinteyro-Ponce, Frederick Tan, Xiaobin Zheng"	
community-run	Carpentries	bioc-rnaseq	November 2023	Instituto Evandro Chagas	https://www.gov.br/iec/pt-br	Belém	Brazil		Rodrigo Arcoverde Cerveira da Silva	
